작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
deah****,네스티: 톡스바 25000 더블로젤,20250414,5,,아주편하고. 충전만 해서 사용하기에 더 편리한것 같고 절약이 많이 되네요.,0
deah****,네스티: 톡스바 25000 포카리,20250414,5,,아주편하고. 충전만 해서 사용하기에 더 편리한것 같고 절약이 많이 되네요.,0
k_****,네스티: 톡스바 25000 파인애플 아이스,20250405,5,,2개 주문했는데 좋아요,0
jhc7***,네스티: 톡스바 25000 피치 아이스,20250404,5,,빠르게 잘도착했네여,0
hyun*****,네스티: 톡스바 25000 피치 아이스,20250402,5,,너무만족합니다 람사핮이다,2
jjhe****,네스티: 톡스바 25000 자몽 아이스,20250406,5,,존맛탱탱이거로넝착요,0
zerd*****,네스티: 톡스바 25000 피치 아이스,20250331,5,,액상이 보이니 잔량확인도 잘되고 맛도 끝까지 변하지않겠죠?,0
love*******,네스티: 톡스바 25000 애플민트,20250419,5,,좋아요 좋아요 향도 좋아요,0
jae_*******,네스티: 톡스바 25000 포카리,20250403,5,,빠른배송~~ 조아요,0
m_****,네스티: 톡스바 25000 포카리,20250423,5,,분무량 좋고 향 좋네요,0
hyuc*****,네스티: 톡스바 25000 청포도,20250404,5,,맛도 좋고 배송도 빨랐습니다.,0
iyub****,네스티: 톡스바 25000 피치 아이스,20250328,5,,재재구매요 가성비 최고,0
hyuc*****,네스티: 톡스바 25000 자몽 아이스,20250404,5,,향도 좋고 배송도 빨랐습니다.,0
hyuc*****,네스티: 톡스바 25000 포카리,20250404,5,,맛도 좋고 배송도 빨랐습니다.,0
cluc******,네스티: 톡스바 25000 더블 알로에베라,20250402,5,,"정말 잘 선택했다는 생각이 드는 제품이에용. 대용량으로 오래 사용할 수 있어서 경제적이고, 편의점에서 쉽게 구매할 수 있어 접근성도 좋아 만족도가 높습니당.",0
crea***********,네스티: 톡스바 25000 애플민트,20250312,5,,"네스티바 일회용 전자담배 써봤는데 진짜 생각보다 훨씬 더 좋네요ㅋㅋ 편의점에서 쉽게 구매할 수 있어서 편리하고, 액상 맛도 진짜 괜찮아요. 대용량이라 오래 사용할 수 있어서 가성비도 좋고, 특히 더블 로젤 맛이 제 취향이에요. 무니코틴이라 건강에도 좋을 것 같아서 마음 놓고 즐길 수 있어요. 다음에도 또 구매할 거 같아요!",0
alic********,네스티: 톡스바 25000 자몽 아이스,20250328,5,,배송이 아주 빨라요. 타격감 있어요,0
db****,네스티: 톡스바 25000 더블 알로에베라,20250324,5,,찾다찾다 드디어 정착할거 찾았습니다! 제일 만족스러움,0
gh****,네스티: 톡스바 25000 청포도,20250427,5,,이맛도 저맛도 다좋으요,0
song*******,네스티: 톡스바 25000 애플민트,20250329,5,,맛있어영 상쾌한 맛이 좀 부좃하긴한데 기갹도 착하도 즇네용,0
zlae******,네스티: 톡스바 25000 레몬아이스,20250415,5,,감사합니다.잘쓰겠습니다.,0
bk88***,네스티: 톡스바 25000 더블로젤,20250404,5,,배송빠르고 좋아요 향굿ㅅㅅ,0
trre******,네스티: 톡스바 25000 더블로젤,20250321,5,,맛있고 디자인 예쁘고 배송 빨라요 오래필수있는지는 펴봐야알겠네요,0
ljm8***,네스티: 톡스바 25000 민트,20250424,3,,금액이 좀 더 저렴했으면 해요.,0
only*****,네스티: 톡스바 25000 애플민트,20250421,4,,간편하게 사용하기 좋습니다,0
gust*****,네스티: 톡스바 25000 애플민트,20250421,5,,빠른배송 감사합니다!!,0
akdy***,네스티: 톡스바 25000 파인애플 아이스,20250318,3,,커버가 사용감있는 중고같은 느낌,1
nnv0***,네스티: 톡스바 25000 애플민트,20250420,5,,좋아요 돟아요 좋아요,0
neep******,네스티: 톡스바 25000 피치 아이스,20250413,2,,구멍에 달린 고무줄을 빼다가 중간에 끊어졌어요. 그래서인지 잘 안 빨려요,0
cock********,네스티: 톡스바 25000 더블로젤,20250329,5,,금연 보조제로 튀김 현상도 없고 좋았어요~~,0
j497****,네스티: 톡스바 25000 레몬아이스,20250421,3,,멘솔이 생각보다 약해요,0
ilov*******,네스티: 톡스바 25000 포카리,20250404,5,,금연준비로 전담구입했엉ᆢㄷ,0
hn03***,네스티: 톡스바 25000 애플민트,20250405,5,,2번째 구매중입니다,0
ez****,네스티: 톡스바 25000 피치 아이스,20250421,5,,배송 빠르게 잘 받았습니다~,0
ez****,네스티: 톡스바 25000 파인애플 아이스,20250421,5,,배송 빠르게 잘 받았습니다~,0
xxyo*****,네스티: 톡스바 25000 포카리,20250409,5,,배송 빠르고 맛도 좋아요 또 구매하지 않을까 싶습니다,0
fory*****,네스티: 톡스바 25000 피치 아이스,20250424,5,,자아아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 청포도,20250424,5,,자아아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250424,5,,자아아아알 하거습니다.,0
dltn*******,네스티: 톡스바 25000 피치 아이스,20250401,5,,처음엔 너무단데? 목아픈데? 그랬는데 점차 적응되니 괜찮고 이거 한개다피고나서 연초피니 화학냄새 역하고 강해서 토할뻔했어요. 민트맛도 사볼까해요,0
wh****,네스티: 톡스바 25000 민트,20250415,5,,좋네요. 판매자님도 나름 친절하십니다,0
jinj***,네스티: 톡스바 25000 파인애플 아이스,20250417,5,,대만족합니다 좋아요 짱,0
jang*******,네스티: 톡스바 25000 자몽 아이스,20250327,5,,팡에서 샀느데 여기가 더 싸네요 배송도 엄청빨라요 주문하고 다음날 바로 도착했음! 맛은 타 전담보다 단맛이 더 많이 올라오는데 꽤많이 썻는데 여태껏 누수한번 없었음!,0
x801***,네스티: 톡스바 25000 청포도,20250326,5,,청포도 최애입니다 많이 달달해여 당오겟어,0
yjs-****,네스티: 톡스바 25000 애플민트,20250321,5,,니코틴이 없다고하니 금연용으로 구입했습니다,0
ms87****,네스티: 톡스바 25000 파인애플 아이스,20250420,5,,계속 쓸거임 짱좋네,0
trre******,네스티: 톡스바 25000 더블 알로에베라,20250321,5,,맛있고 뱌송 빠르고 디자인 예쁨 다른것보다 비싸고 펌프수 많으니 기대합니다,0
trre******,네스티: 톡스바 25000 애플민트,20250321,5,,맛있고 뱌송 빠르고 디자인 예쁨 다른것보다 비싸고 펌프수 많으니 기대합니다,0
trre******,네스티: 톡스바 25000 피치 아이스,20250321,5,,맛있고 뱌송 빠르고 디자인 예쁨 다른것보다 비싸고 펌프수 많으니 기대합니다,0
ss****,네스티: 톡스바 25000 자몽 아이스,20250414,4,,맛좋습니다 좋아요 재구매 각입니다,0
hks3*******,네스티: 톡스바 25000 피치 아이스,20250416,5,,배송 빠르고 제품 좋아요,0
lemg*****,네스티: 톡스바 25000 더블 알로에베라,20250320,5,,맛이 괜찮아요 재구매 의향 있음,0
qudd***,네스티: 톡스바 25000 자몽 아이스,20250331,5,,기대가 큽니다 바 보다 5000이 더 나올지,0
wjd2***,네스티: 톡스바 25000 피치 아이스,20250418,5,,만족합니다 완죤 맛나요 감사해요,0
sw64*****,네스티: 톡스바 25000 레몬아이스,20250407,4,,좋아요 가격대비 성능좋아요 재구매 해서 사몽중입니다,0
dbqh*****,네스티: 톡스바 25000 애플민트,20250401,5,,편의점 9800원짤보다 확실히 좋네요 ㅎ,0
jym9***,네스티: 톡스바 25000 청포도,20250415,5,,감사합니다 잘받았습니다,0
lady*****,네스티: 톡스바 25000 자몽 아이스,20250411,5,,타격감은 조금 적은데 그래도 괜찮아서 다음에 또 주문하려고요,0
wjdt******,네스티: 톡스바 25000 포카리,20250417,2,,사용 며칠 후 액상누수에 자기 마음대로 작동...,1
ghdw*******,네스티: 톡스바 25000 피치 아이스,20250408,5,,배송빠르고 네스티20000만 쓰다가 이거 처음쓰는데 가격도 저렴하고 한번 써보고 재구매 해볼게요,0
xjap*****,네스티: 톡스바 25000 애플민트,20250421,5,,항상 만족합니다👍🏻,0
ljm8***,네스티: 톡스바 25000 피치 아이스,20250424,3,,금액이 좀 비싸요 ㅜㅜ,0
eogh****,네스티: 톡스바 25000 포카리,20250401,5,,굿굿 금연 성공할거같아요,0
rush****,네스티: 톡스바 25000 피치 아이스,20250418,5,,톡스는 피치가 부드럽고 맛나네요,0
hks3*******,네스티: 톡스바 25000 애플민트,20250416,5,,배송 빠르고 좋아요,0
dpc1***,네스티: 톡스바 25000 피치 아이스,20250418,5,,아무문제없이잘사용하고있어요,0
dpc1***,네스티: 톡스바 25000 포카리,20250418,5,,아무문제없이잘사용하고있어요,0
db****,네스티: 톡스바 25000 피치 아이스,20250324,5,,찾다찾다 드디어 정착할거 찾았습니다 아주 만족스러움!,0
nada****,네스티: 톡스바 25000 더블 알로에베라,20250411,5,,굿입니다! 이전꺼보다 더 좋아요,0
1950****,네스티: 톡스바 25000 애플민트,20250325,5,,담배 특유의 은은한 달콤함이 기분좋게 퍼지면서 대체용품으로 안성맞춤이네요. 상쾌한 느낌도 있고 순한맛이어서 괜찮아서 추천합니다,0
team******,네스티: 톡스바 25000 망고아이스,20250323,5,,진짜 역대급 전담 이것저겅 다펴봤는데 최고에요,0
wldn****,네스티: 톡스바 25000 피치 아이스,20250418,5,,달달합니데이 다음엔 네스틱 삼,0
bigi****,네스티: 톡스바 25000 청포도,20250416,5,,좀 달기는 하지만 전반적으로 무난하네요,0
rush****,네스티: 톡스바 25000 청포도,20250418,5,,맛과 향이 좋습니다.,0
choi*****,네스티: 톡스바 25000 더블 알로에베라,20250326,5,,배송 빠르고 만족스럽습니다,0
kill******,네스티: 톡스바 25000 더블로젤,20250322,5,,펌프수도 많고 타격감도 좋네요 잘쓰겠습니다,0
mist******,네스티: 톡스바 25000 민트,20250409,2,,그저그래요 제스타일은 아닌듯,0
chlt*****,네스티: 톡스바 25000 민트,20250328,5,,흡입느낌이랑 향이좋네요,0
chlt*****,네스티: 톡스바 25000 포카리,20250328,5,,흡입느낌이랑 향이 좋네요,0
ur****,네스티: 톡스바 25000 더블 알로에베라,20250321,5,,아주 만족합니다!!많이 파세요,0
leej*****,네스티: 톡스바 25000 레몬아이스,20250324,4,,충전 간단하고 사용하기 편함. 단맛이 좀 강하게 느껴짐,0
song*******,네스티: 톡스바 25000 피치 아이스,20250329,5,,심심할 때 피기 딱 좋아용,0
dltj*******,네스티: 톡스바 25000 더블로젤,20250325,5,,너무 좋아서 할 말이 없네요ㅎ,0
ohyo*****,네스티: 톡스바 25000 더블 알로에베라,20250320,5,,잘받았습니다 감사합니다 많이파세요,0
ohyo*****,네스티: 톡스바 25000 청포도,20250326,5,,잘쓰겠습니다 ~ 많이파세요 ~,0
pczo******,네스티: 톡스바 25000 자몽 아이스,20250414,5,,맛 괜찮네요 다른 맛도 한번 사봐야겠어요,0
pczo******,네스티: 톡스바 25000 애플민트,20250414,5,,맛 괜찮네요 다른 맛도 한번 사봐야겠어요,0
pczo******,네스티: 톡스바 25000 파인애플 아이스,20250414,5,,맛 괜찮네요 다른 맛도 한번 사봐야겠어요,0
pczo******,네스티: 톡스바 25000 레몬아이스,20250414,5,,맛 괜찮네요 다른 맛도 한번 사봐야겠어요,0
vi****,네스티: 톡스바 25000 포카리,20250416,5,,생각보다 빨리달아요ㅠ,0
fory*****,네스티: 톡스바 25000 자몽 아이스,20250418,5,,자아아아알 하거습니다.,0
dngh*****,네스티: 톡스바 25000 포카리,20250415,5,,배송도 빠르고 품질도 괜찮아요.,0
fory*****,네스티: 톡스바 25000 청포도,20250418,5,,자아아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 자몽 아이스,20250418,5,,자아아아알 하거습니다.,0
dldn***,네스티: 톡스바 25000 더블 알로에베라,20250409,5,,다음에 또 이용할게요 감사합니다,0
x801***,네스티: 톡스바 25000 파인애플 아이스,20250320,5,,과일향의 달달함도 좋구 연무량도 괜찮고 사용기한도 괜찮네요,0
chch******,네스티: 톡스바 25000 피치 아이스,20250325,5,,맛도 좋고 엄청 오래가네요 ㅎㅎ,0
csw2***,네스티: 톡스바 25000 더블 알로에베라,20250411,5,,맛도 좋고 괜찮아요 재구매 의사 있습니다,0
tlse********,네스티: 톡스바 25000 민트,20250418,5,,배솟빠르고좋습니다ㅎ,0
fory*****,네스티: 톡스바 25000 애플민트,20250418,5,,자아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250418,5,,자아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 청포도,20250418,5,,자아아알 하거습니다.,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250418,5,,자아아알 하거습니다.,0
josi****,네스티: 톡스바 25000 더블로젤,20250402,5,,좋습니다 최고~~~~~~,0
hong******,네스티: 톡스바 25000 애플민트,20250412,5,,맛표현이 좋아요 딸기맛이 없어.아쉬워요,0
ra84****,네스티: 톡스바 25000 레몬아이스,20250315,5,,배송진짜 빨라요 아직 사용은 안해봤습니다,0
qjsr*****,네스티: 톡스바 25000 더블로젤,20250325,5,,맛 좋아요 괜찮네요,0
jus8***,네스티: 톡스바 25000 포카리,20250307,5,,그동안 수많은 택배를 받았지만 이렇게 빨리 배송해주신적은 없었네요~ 잘쓰겠습니다!,0
riwo***,네스티: 톡스바 25000 피치 아이스,20250312,5,,빠른배송 감사합니다 ! 언능 베이핑 해봐야겠어요,0
voic*****,네스티: 톡스바 25000 더블 알로에베라,20250401,5,,시트러스와 레몬의 상쾌한 맛이 잘 조화를 이룬 제품이네요 잘 받았습니다~,0
ohhy****,네스티: 톡스바 25000 피치 아이스,20250420,5,,아주 괜찮아요……..,0
team******,네스티: 톡스바 25000 자몽 아이스,20250323,5,,진짜 역대급. 입니다 연초끊으실분들 추천,0
comb****,네스티: 톡스바 25000 망고아이스,20250403,5,,뭐지..?이 요물은..?진짜 망고맛 엄펑 맛있어여 다 피먄 다시 돌아올꺼입니당,0
chan*******,네스티: 톡스바 25000 더블 알로에베라,20250313,5,,상품 특유의 로젤향이 은은하면서도 깔끔하게 잘 어우러져서 기분 좋게 즐기고 있습니다. 액상 밸런스도 훌륭하고 맛과 향의 조화가 아주 만족스럽네요. 대용량이라 오래 사용할 수 있어서 실용적입니다.,0
g9in****,네스티: 톡스바 25000 파인애플 아이스,20250321,5,,향이 강하네요 배송이 너무 빨라요,0
stam********,네스티: 톡스바 25000 청포도,20250331,5,,편의점에서 편하게 구매할 수 있는 이 제품은 제 기대치를 충분히 충족시켜줘서 정말 만족스럽습니다.,0
mins***,네스티: 톡스바 25000 레몬아이스,20250325,5,,맛도립니다~~강추강추!,0
neww*****,네스티: 톡스바 25000 자몽 아이스,20250323,5,,향이 좋고 편리해요,0
only*****,네스티: 톡스바 25000 더블로젤,20250411,4,,다조은데 이만오천번 까지는 아닙니다,1
mhb9***,네스티: 톡스바 25000 피치 아이스,20250402,1,,상품 포장이 뽁뽁이로만 되있고 기기표면에 기스가많아 이게 새상품인지 의심되네요,0
seo-*******,네스티: 톡스바 25000 청포도,20250317,5,,상담원분이 매우 친절하셨어요 정말 꼼꼼하게 설명해주셔서 좋았습니다. 배송도 빠르고 안전하게 포장되어서 만족스러웠네요 감사드립니다 ^_^,0
jede****,네스티: 톡스바 25000 피치 아이스,20250415,5,,사용하기 편함 좋음,0
rldd******,네스티: 톡스바 25000 더블 알로에베라,20250324,5,,네 좋습니다좋아요.,0
spes***,네스티: 톡스바 25000 포카리,20250406,5,,오 괜찮네요 액상 타입이라,0
hn03***,네스티: 톡스바 25000 더블 알로에베라,20250325,5,,20000펌프 사용하다 25000은 어떨지 궁금하네요,0
cozy****,네스티: 톡스바 25000 더블 알로에베라,20250412,5,,배송도빠르고 좋습니다.,0
tngu*******,네스티: 톡스바 25000 더블 알로에베라,20250412,1,,너무달고 저의스타일은 아닌듯합니당 ㅠ,0
neep******,네스티: 톡스바 25000 애플민트,20250413,2,,흡인력이 부족하고 맛이 밍밍해요,0
sooo****,네스티: 톡스바 25000 포카리,20250325,5,,횟수가 줄어들고 있습니다.,0
hjjt******,네스티: 톡스바 25000 청포도,20250322,5,,배송 맛집 감사합니다,0
kcse***,네스티: 톡스바 25000 레몬아이스,20250324,4,,모드가있어서 좋습니다,0
kdw6***,네스티: 톡스바 25000 애플민트,20250323,5,,연무가 마니 나와서 좋라요,0
hjjt******,네스티: 톡스바 25000 애플민트,20250318,5,,꾸준하게 쓰려규요 배송 맛집 감사합니다 ~,0
tlsd*******,네스티: 톡스바 25000 레몬아이스,20250327,5,,레몬 맛 괜찮네요 :),0
ncec******,네스티: 톡스바 25000 청포도,20250325,5,,생각했던 것보다 훨씬 더 좋네요! 맛도 좋고 사용감도 만족스러워요.,0
topc*****,네스티: 톡스바 25000 자몽 아이스,20250408,5,,감사합니다 번창하세요,0
seun*****,네스티: 톡스바 25000 파인애플 아이스,20250318,5,,빠른 배송 감사합니다,0
seap*****,네스티: 톡스바 25000 더블 알로에베라,20250315,5,,알로에베라 정말 상쾌하고 시원한 맛나요 강추합니다^^,0
seun*****,네스티: 톡스바 25000 더블로젤,20250318,5,,빠른 배송 감사합니다.,0
aknd******,네스티: 톡스바 25000 더블 알로에베라,20250412,5,,요거는 첨인데 맛있네요.,0
wl****,네스티: 톡스바 25000 더블로젤,20250408,5,,전담으로 바꾸려고 시도하고자 합니다,0
mgki****,네스티: 톡스바 25000 더블 알로에베라,20250403,5,,미국 출장 중에 피우던 제품과 가장 비슷한 느낌이라 좋아요!!!,0
agoz*******,네스티: 톡스바 25000 더블 알로에베라,20250318,5,,토마토향이랑 박하향이 절묘하게 조화롭네요 상큼한데 시원하고 청량감도 있어서 제가 찾던 맛이에요 한번씩 피울때마다 기분이 상쾌해지는게 좋았습니다~!,0
revs*****,네스티: 톡스바 25000 레몬아이스,20250318,5,,사용이 편하고 맛도 좋네요,0
so****,네스티: 톡스바 25000 자몽 아이스,20250328,5,,빠른배송 감사해요 . 맛표현이 잘되서 좋아욥!,0
n5p5************,네스티: 톡스바 25000 애플민트,20250314,5,,정말 맘에 들어용! 대용량이라 오래 쓸 수 있고 편의점에서 쉽게 구할 수 있어서 너무 편리해용. 액상 맛도 좋고 무니코틴이라 건강에도 좋은 것 같아서 계속 사용하고 싶습니당.,0
an_s***********,네스티: 톡스바 25000 더블로젤,20250319,5,,"풍부한 맛, 아름다운 디자인, 편리한 디스플레이",0
iove********,네스티: 톡스바 25000 피치 아이스,20250403,5,,가성비좋은 일회용 전담입니다 달달한 복숭아향이 좋으네여,0
matt*******,네스티: 톡스바 25000 포카리,20250426,5,,좋아요 좋아요좋아요,0
wpqi******,네스티: 톡스바 25000 포카리,20250331,5,,매번 쿠팡에서 샀는데 여기가 더 싸고 배송도 담날 바로와서 좋아요!,0
1015*******,네스티: 톡스바 25000 청포도,20250320,5,,여러번 사용해봤는데 이번에도 퀄리티가 유지되어 좋네요. 로젤 향도 순하고 깔끔해서 만족스럽게 즐기고 있습니다~,0
orew*****,네스티: 톡스바 25000 포카리,20250325,5,,포카리 진짜 리얼하세 포카리맛이 나네요. 과일계열이나 디저트계열보다 포카리 강추네요,1
mgki****,네스티: 톡스바 25000 더블로젤,20250403,5,,좋아요 좋아~!!! 만족스럽습니다.,0
n2of******,네스티: 톡스바 25000 청포도,20250316,5,,아주 만족스러워요. 사용감이 정말 좋더라고요. 최고예요 ㅋㅋ. 다음에도 또 구매할 것 같아요.,0
7002****,네스티: 톡스바 25000 피치 아이스,20250404,5,,다른데보다품질이좋은거같아요,0
1952********,네스티: 톡스바 25000 애플민트,20250313,5,,주문하자마자 당일에 도착해서 놀랐어요! 제품 완전 맘에 들어요~♥ 액상 냄새도 좋고 용량도 넉넉해서 만족스럽네요. 감사합니다 ㅎㅎ,0
fran*********,네스티: 톡스바 25000 더블 알로에베라,20250315,5,,"대용량이라 오래 사용할 수 있어서 좋아요. 편의점에서 쉽게 구할 수 있어 편리하고, 맛도 괜찮아서 만족스러워요. 다음에도 이 제품을 구매할 것 같아요.",0
cuba******,네스티: 톡스바 25000 자몽 아이스,20250307,5,,배송 초특급에 최고의 맛! 추천합니다~!,1
jjhe****,네스티: 톡스바 25000 애플민트,20250319,5,,이타다키마스~잘필레여,0
iove********,네스티: 톡스바 25000 청포도,20250403,5,,맛도 흡입력도 디자인도 분부량도 일회용전담치고는 가성비좋앙요,0
m_****,네스티: 톡스바 25000 레몬아이스,20250409,5,,시원하네요 좋습니다,0
cuba******,네스티: 톡스바 25000 애플민트,20250307,5,,배송 초특급에 최고의 맛! 추천합니다~!,0
cuba******,네스티: 톡스바 25000 더블로젤,20250307,5,,배송 초특급에 최고의 맛! 추천합니다~!,0
ma****,네스티: 톡스바 25000 청포도,20250404,5,,빠른배송감사합니다^^,0
ngde*******,네스티: 톡스바 25000 애플민트,20250320,5,,편의점에서 구매했는데 생각보다 만족도가 높네요. 예상했던 것보다 훨씬 더 좋았어요.,0
revs*****,네스티: 톡스바 25000 파인애플 아이스,20250318,5,,맛이 다양해서 좋습니다,0
mins***,네스티: 톡스바 25000 더블 알로에베라,20250316,5,,진짜 맛도립니다~ 강추!강추!,0
hjjt******,네스티: 톡스바 25000 피치 아이스,20250313,5,,배송좋네요 감사합니다 ~~,0
xjap*****,네스티: 톡스바 25000 더블 알로에베라,20250316,5,,배송 빠르고 포장도 꼼꼼하네요 우선 무니코틴이라고 해서 한번 사봤는데 나름 괜찮게 사용하고 있습니다,0
anal******,네스티: 톡스바 25000 더블로젤,20250319,5,,배송빠르고 좋아요 불량없고요 다만 맛선택은 실패한듯 다음엔 다른걸로,0
a9i9******,네스티: 톡스바 25000 더블 알로에베라,20250305,5,,"이 전자담배 진짜 대박이에요! 액상 맛도 너무 좋고 대용량이라 오래 즐길 수 있어요. 편의점에서 쉽게 구매할 수 있어서 편리하고, 일회용이라 관리도 간편해요. 로젤 맛이 은은하게 나서 기분 좋게 사용 중입니다 ㅎㅎ 무니코틴이라 건강에도 좋은 것 같아요^^",0
fzjc*****,네스티: 톡스바 25000 애플민트,20250308,5,,부담없이 즐길 수 있어서 좋네요 상큼한 로젤라 맛이 기분을 환하게 만들어주는데 향이 은은하고 부드러운 게 정말 매력적입니다 마음에 들어서 하나 더 구매할까 싶네요~,0
trud******,네스티: 톡스바 25000 청포도,20250317,5,,네스티바 휴대하기 간편해서 좋아요 상큼한맛이 오래 지속되네요 음료맛도 충실히 재현했어요 만족스럽네요^,0
yh04****,네스티: 톡스바 25000 더블 알로에베라,20250410,5,,좋다네요좋다네요 좋다네요,0
achi****,네스티: 톡스바 25000 피치 아이스,20250427,4,,괜찮아요 좋네요~~~~,0
gyeh*****,네스티: 톡스바 25000 민트,20250406,5,,가선비대비만족하며즛비니자줗니니ㅔ,0
gksd*****,네스티: 톡스바 25000 피치 아이스,20250404,5,,불효의 상징 아버지 선물닙니다,0
e5ww*****,네스티: 톡스바 25000 더블 알로에베라,20250315,5,,더블 로젤 맛은 달달하고 상큼한 편이에요 상큼함이 더 강한느낌이고 물리지 않게 향긋한게 좋아요 한 입 빨면 나는 과일맛이 새콤달콤하네요 ~,0
zerd*****,네스티: 톡스바 25000 더블 알로에베라,20250331,5,,액상이 보이니 잔량확인도 잘되고 맛도 끝까지 변하지않겠죠?,0
neww*****,네스티: 톡스바 25000 애플민트,20250405,5,,연무량도 괜찮고 타격감도 좋습니다,0
smko****,네스티: 톡스바 25000 파인애플 아이스,20250407,5,,덜 시원한데.. 괜찮네여,0
nabi****,네스티: 톡스바 25000 레몬아이스,20250404,5,,심플하고 좋네요 크기도작아요,0
ance****,네스티: 톡스바 25000 애플민트,20250403,5,,배송 빠르고 좋네요,0
ical****,네스티: 톡스바 25000 더블 알로에베라,20250318,5,,상쾌하고 깔끔한 맛이라 마음에들어요 향도 좋고 퀄리티가 괜찮네요,0
stor*****,네스티: 톡스바 25000 청포도,20250502,5,,굿~~~~~~~~~~~~,0
pkg1***,네스티: 톡스바 25000 더블 알로에베라,20250331,5,,타격감이 좋습니다 만족합니다,0
dpc1***,네스티: 톡스바 25000 포카리,20250402,5,,아무문제없이잘사용하고있어요,0
dpc1***,네스티: 톡스바 25000 민트,20250402,5,,아무문제없이잘사용하고있어요,0
lyim*******,네스티: 톡스바 25000 청포도,20250311,5,,상큼한 맛이라 기분전환하기 좋고 깔끔한 맛인게 마음에 들었어요. 다음에도 이걸로 구매해볼까 싶을정도로 만족스러웠어요~,0
fenc*****,네스티: 톡스바 25000 청포도,20250313,5,,빠른 배송이 정말 좋았어요. 주문하자마자 도착해서 놀랐네요. 맛있고 향이 좋아서 만족해요.,0
2005***,네스티: 톡스바 25000 더블 알로에베라,20250319,5,,쥬시하고 달달한 로젤맛이 은은한게 기분좋아요 다른맛이랑 달리 달콤한 끝맛에 시큼함도 잘 어우러지네요 ㅎㅎ,0
nort*****,네스티: 톡스바 25000 애플민트,20250310,5,,석류와 장미의 영감을 받은 듯한 플레이버 조화가 일품이네요. 무니코틴이라 부담스럽지 않고 은은한 단맛과 향이 기분전환하기에 좋습니다 ㅎ,0
park****,네스티: 톡스바 25000 더블로젤,20250307,5,,빠른배송감사드립니다,0
hwan*********,네스티: 톡스바 25000 애플민트,20250317,5,,배송도 빨랐고 포장상태도 깔끔하고 꼼꼼하게 되어있어서 만족스럽게 잘 받았습니다~!,0
colu*******,네스티: 톡스바 25000 애플민트,20250322,5,,구매 경험이 만족도를 높여주네요. 재구매로 입증된 가치!,0
rcom*******,네스티: 톡스바 25000 애플민트,20250312,5,,향이 특별해서 눈길이 갔는데요 로젤향이 상큼달달하고 민트가 강하지 않아서 호불호가 갈릴 일은 없어 보이네요 은은하게 퍼지는 향이 밸런스가 딱 좋았어요^^,0
xjap*****,네스티: 톡스바 25000 애플민트,20250316,5,,배송 빠르고 포장 꼼꼼하네요 무니코틴 치고 괜찮아요,0
medi********,네스티: 톡스바 25000 애플민트,20250307,5,,진짜 대박이에요!! 이런 맛은 처음이에요ㅋㅋ 로젤향이 너무 좋고 양도 넉넉해서 만족스러워요~ 편의점에서 쉽게 구할 수 있어서 편리하네요. 강추합니다 :),0
sinj****,네스티: 톡스바 25000 더블로젤,20250318,5,,배송 하루만에 바로 왔네요 쿠팡이랑 배달차이 별로 없는듯,0
cuba******,네스티: 톡스바 25000 피치 아이스,20250307,5,,배송 초특급에 최고의 맛! 추천합니다~!,0
stee*******,네스티: 톡스바 25000 더블 알로에베라,20250312,5,,믿고 사용하는 네스티 톡스바!!!,0
dlwj*******,네스티: 톡스바 25000 레몬아이스,20250331,5,,양도많고 전담치곤 베스트,0
anal******,네스티: 톡스바 25000 자몽 아이스,20250329,5,,이번에도 맛 취향 실패 다음에 다시 도전,0
oaoi******,네스티: 톡스바 25000 청포도,20250310,5,,배송이 빨리 왔어요! 말할 것도 없이 빠른 배송 덕분에 제품을 바로 사용할 수 있었습니다.,0
uxfe******,네스티: 톡스바 25000 더블 알로에베라,20250308,5,,제품 받자마자 사용해봤는데 정말 만족스러워요. 배송도 빨랐고 포장 상태도 깔끔해서 기분 좋게 받았습니다.,0
az****,네스티: 톡스바 25000 레몬아이스,20250328,5,,배송이 빨리와서 좋앗어요,0
shin******,네스티: 톡스바 25000 애플민트,20250309,5,,배송이 신속해서 좋네요! 편의점에서 이렇게 대용량으로 구매할 수 있어 편리해요. 맛도 좋고 만족스러워요~,0
bill****,네스티: 톡스바 25000 민트,20250321,5,,최고에요 2개째 구매해서 사용중,0
ruda*****,네스티: 톡스바 25000 더블 알로에베라,20250312,5,,사용해보니 정말 편리하고 만족스러운 제품이에요. 다음에도 꼭 구매하고 싶을 정도로 마음에 듭니다.,0
me12****,네스티: 톡스바 25000 애플민트,20250308,5,,리뷰가 긍정적이어서 구매하게 되었어요. 사용해보니 편리하고 맛도 좋아서 만족스러워요. 주변 사람들에게도 추천하고 싶은 제품이에요.,0
