,작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
903,ss****,컬러: 글로 하이퍼 (코발트 블루),20250308,5,,추가 구매입니다 지금 이 기종 쓰고 있는데 만족합니다 기기 고장 대비해서 예비적으로 구매합니다,0
904,dash***,컬러: 글로 하이퍼 (코발트 블루),20250402,5,,잘받았어요 굵직한게 좋으네요,0
905,ysj7*****,컬러: 글로 하이퍼 (코발트 블루),20250401,5,,무조건 사세요 대박 좋아요 강력추천합니다,0
906,cs****,컬러: 글로 하이퍼 (그래파이트 블랙),20250307,5,,글로 1세대부터 사용했던 유저입니다 이번에도 만족스럽길!,0
907,sp****,컬러: 글로 하이퍼 (코발트 블루),20250320,5,,그립감좋고 타격감 좋아요~~~,0
908,idha****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250319,5,,이전기기보다훨씬좋습니다.,0
909,sson*******,컬러: 글로 하이퍼 (코발트 블루),20250312,5,,좋네요 맛이 더 좋은것같아요,0
910,jade****,컬러: 글로 하이퍼 (코발트 블루),20250227,3,,권유로 구입했습니다. 두 종류를 구입했는데 알맞는 필터를 못찾았네요. 몇번 더 사 봐야지요. 한 칸 남았을때 확 독해지는 증상이 있어서 별로였어요,0
911,take***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250405,5,,배송빠르고 가성비 최곱니다,0
912,pkh3***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250314,5,,배송도 빠르고 타격감도좋고 나름 만족합니다~,0
913,torr******,컬러: 글로 하이퍼 (코발트 블루),20250205,5,,"사용한지 벌써 한달이 넘었네요. 기존 일반 글로 프로 제품 쓰다가 고장나서 하이퍼 모델로 갈아탔어요. 이 제품의 솔직 후기 적어 봅니다. 연무량 : 보통 타격감 : 강함 배터리 지속성 : 강함 내구성 : 튼튼한 편 (다만, 소재 특성상 떨어뜨리면 스크래치가 심합니다...ㅠㅠ;) 위에서 언급했듯 배터리 완충으로 거의 20번 이상 흡연이 가능하고 연무량도 괜찮고 내구성도 튼튼한 편이나 굳이 단점을 꼽자면 기존 제품(기존 제품은 떨어뜨리면 뚜껑이 분리됨 ㅎㅎ)처럼 우레탄 소재가 아닌 알미늄이라 제품을 떨궜을 때 스크레치가 심하게 나는 점 정도가 단점인 것 같습니다.",1
914,minh******,컬러: 글로 하이퍼 (말라카이트 틸),20250404,5,,아직 사용 전인데 색이 너무 예쁩니다!!!,0
915,mcth*****,컬러: 글로 하이퍼 (말라카이트 틸),20250311,5,,잘 사용하고있어요 한번 떨어트렷는데 티 안나고 멀쩡하네요,0
916,e6****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250327,5,,청소 필요없고 그립감좋아요~ 사용하기 편합니다,0
917,ji****,컬러: 글로 하이퍼 (말라카이트 틸),20250314,5,,디자인 연무량 사이즈 모두 좋아졌습ㄴ디ㅏ~,0
918,kool****,컬러: 글로 하이퍼 (그래파이트 블랙),20250331,5,,빠른배송 꼼꼼히 포장해서 참좋아요,0
919,mina*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250315,5,,에어보다 연무량도 많고 베터리도 오래가서 좋네요,0
920,hawk****,컬러: 글로 하이퍼 (그래파이트 블랙),20250327,2,,"받긴 받았는데 사기당한 기분.. 충전거치대, 보조배터리 거짓말? 몹시 기군 나쁨.. ㅠ",0
921,lp****,컬러: 글로 하이퍼 (말라카이트 틸),20250306,5,,두 개 주문했어요 배터리가 너무 빨리 나가요 좀 오래 쓰게 좀 만들어 주세요,0
922,kima*******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250313,5,,너무 잘쓰고 있고 두번째 구매입니다,0
923,binn****,컬러: 글로 하이퍼 (코발트 블루),20250315,5,,가볍고 그립감 좋고 괜찮네요.,0
924,caka***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250313,5,,타격감이 이전보다 좋아진거 같아요,0
925,jpj7***,컬러: 글로 하이퍼 (코발트 블루),20250306,5,,만족합니다 잘쓸께요 굿입니다,0
926,thwl*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250410,5,,잊어버려서 다시샀어요..ㅠㅠㅠ,0
927,lj****,컬러: 글로 하이퍼 (그래파이트 블랙),20250314,5,,배송빠르고 아직 사용전입니다,0
928,sung*******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250315,5,,배송오 빠르고 품질 좋아요,0
929,imya******,컬러: 글로 하이퍼 (코발트 블루),20250328,5,,디자인도 깔끔하고 기존거보다 성능도 좋습니다,0
930,scri***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250327,5,,디자인이 이뻐요. 그립감도 좋고,0
931,plus***,컬러: 글로 하이퍼 (그래파이트 블랙),20250315,5,,배송 빠르게 잘 받았습니다,0
932,sija*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250222,5,,"색상. 성능. 가격 모두 좋습니다. 이번에구매한게 두 번째인데, 이번 것도 오래 성능이 유지되길 바랍니다.",0
933,dani******,컬러: 글로 하이퍼 (그래파이트 블랙),20250318,5,,고장없이 잘쓰고있습니다!,0
934,hwoa***,컬러: 글로 하이퍼 (말라카이트 틸),20250320,5,,지금 쓰고 있는 기기를 사무실에 자꾸 놓고 다녀서 가방에 챙겨두는 용도로 샀는데 화면만 없다뿐이지 사용하는건 똑같네요 아주 좋습니다,0
935,lts0***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250406,5,,만족. 선착순 충전기는 안왔네요,0
936,sky1*******,컬러: 글로 하이퍼 (코발트 블루),20250404,5,,디자인도 실용도도 만족합니다 ㅎㅎ,0
937,pa****,컬러: 글로 하이퍼 (말라카이트 틸),20250404,5,,성능 디자인 모두 만족해요,0
938,ksm8*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250312,5,,그립감 디자인 성능 모든부분 맘에들어요^^,0
939,choi****,컬러: 글로 하이퍼 (코발트 블루),20250222,5,,색상 기기 너무 만족합니다. 기기 사이즈도 한 손에 쏙 들어와서 편해요. 좋은 제품 잘 사용할게요^^,0
940,lenn***,컬러: 글로 하이퍼 (그래파이트 블랙),20250331,5,,만족합니다...잘 사용할께요~,0
941,blue*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250304,3,,적당한 가격에 구매했습니다. 배송 처리 매우 빠릅니다. 잘 받았습니다. 편리하게 잘 사용했습니다.,0
942,mcth*****,컬러: 글로 하이퍼 (말라카이트 틸),20250206,5,,글로 초창기부터 사용해왔어요 아이코스와 릴도 해봤지만 글로만한게 없네요 타격감 업그레이드는 물론 타임도 길어져 좋네요 즐담할게요 : ),1
943,cool*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250316,5,,당연하겠지만 에어보다 좋네요 ㅎ,0
944,dill***,컬러: 글로 하이퍼 (그래파이트 블랙),20250327,4,,만족하고 있어요. 감사합니다.,0
945,masi********,컬러: 글로 하이퍼 (코발트 블루),20250312,5,,빠른배송 감사드려요,0
946,gogo****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250313,5,,빠른배송 감사합니다.,0
947,gogo****,컬러: 글로 하이퍼 (그래파이트 블랙),20250313,5,,빠른배송 감사합니다.,0
948,loyl****,컬러: 글로 하이퍼 (그래파이트 블랙),20250402,4,,전작에 비해 시간 성능 만족합니다.,0
949,timb*******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250219,5,,"새로운 재품으로 다시 전담 시작했는데 역시 글로가 제일 입맛에 맞고 편해요~^^ 담배고 맛나고, 기계도 너무 매끈하니 이쁘고 오래 가네용ㅎㅎ",0
950,byun******,컬러: 글로 하이퍼 (말라카이트 틸),20250403,5,,가격이 적당하고 배송도 빨라요.,0
951,hojo*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250309,5,,검정쓰다가 이번에 새로 구매 색 좋고 연무량도 좋아요,0
952,ksi1***,컬러: 글로 하이퍼 (말라카이트 틸),20250220,5,,아이코스 사용하다 너무 불편해서 포기하고 연초피다 이번에 다시 도전하는데 아이코스랑 비교해도 연무량이나 타격감이 너무 만족스럽네요. 아이코스가 비싼 쓰레기였네요.,1
953,gouf******,컬러: 글로 하이퍼 (그래파이트 블랙),20250408,5,,슬림하고 좋습니다.,0
954,kkkk****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250309,5,,배송빠르고 좋네여 ㅎ 감사핮니다 ㅎㅎ,0
955,bl****,컬러: 글로 하이퍼 (그래파이트 블랙),20250306,5,,글로 디자인 조아요 밧데리도 오래갈듯,0
956,otaq***,컬러: 글로 하이퍼 (그래파이트 블랙),20250326,5,,쓰던 기계가 고장이나 새로 구입했습니다. 글로가 제일 나은거 같아요,0
957,kali*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250308,4,,생각보다 타격감? 목넘김? 좋아서 드디어 연초 대체할 수 있을거 같아요. 다만 몇번 흡입하면 소진이 금방되는지 강도가 사라지는게 아쉬워요. 타격감 지속성 개선하면 대박 잘 팔릴듯,0
958,pjpp****,컬러: 글로 하이퍼 (그래파이트 블랙),20250404,5,,깔끔한 이미지좋아요,0
959,a980***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250327,5,,잘 사용하고 있습니다. 고장없이 ... 감사합니다,0
960,ygs1***,컬러: 글로 하이퍼 (코발트 블루),20250402,5,,이번꺼다 제일 좋은거 같습니다.,0
961,ym****,컬러: 글로 하이퍼 (그래파이트 블랙),20250404,5,,빠른배송 합리적 가격,0
962,uncl***,컬러: 글로 하이퍼 (그래파이트 블랙),20250402,5,,"조금 더 부드러운 느낌 / 분무감,목넘김등 좋습니다.",0
963,shfo*****,컬러: 글로 하이퍼 (코발트 블루),20250319,5,,빠른데 불량아니길..,0
964,khsz******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250404,5,,좋아요재구매입니다 ㅎ,0
965,gmlg******,컬러: 글로 하이퍼 (그래파이트 블랙),20250307,5,,구형에서 넘어갔는데 부드럽고 맛표현도 좋네요 배터리가 느낌으로 더 오래가는 것 같ㄱ도 합ㄴ다,0
966,soul********,컬러: 글로 하이퍼 (그래파이트 블랙),20250317,4,,연무량이 제일 세요,0
967,soul********,컬러: 글로 하이퍼 (그래파이트 블랙),20250317,5,,연무량이 제일 세요,0
968,masi********,컬러: 글로 하이퍼 (애미시스트 퍼플),20250307,5,,연휴때시켰는데 빠른배송 감사드립니다,0
969,trag******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250327,4,,배송느리네요 제품은 뭐.. 똑같습니다,0
970,hyeo*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250402,5,,좋아요 아주 잘쓰고있습니다.,0
971,cowh****,컬러: 글로 하이퍼 (그래파이트 블랙),20250310,5,,좋은제품 저렴한 가격에 잘구매했습니다,0
972,hyos******,컬러: 글로 하이퍼 (코발트 블루),20250328,5,,만족합니다 잘쓰고있어요 최고입니당,0
973,zard****,컬러: 글로 하이퍼 (말라카이트 틸),20250215,5,,빠른배송과 제품상태굿굿 하이퍼프로보단 열감이 딸리긴한듯,0
974,hb_k***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250309,5,,가성비.좋아요.. 재구매중,0
975,bdt2***,컬러: 글로 하이퍼 (그래파이트 블랙),20250331,5,,너무 좋습니다. 다 만족합니다!,0
976,0193******,컬러: 글로 하이퍼 (그래파이트 블랙),20250405,5,,새로운 기기라 좋습니다,0
977,jura******,컬러: 글로 하이퍼 (그래파이트 블랙),20250408,5,,굳 근데 담배가 4800원임,0
978,johe******,컬러: 글로 하이퍼 (코발트 블루),20250306,5,,아주 좋아요 글로하이퍼 가성비가 좋습니다,0
979,rksk******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250319,4,,너무 좋아요 글로를 계속해서 쓰는데.디자인도 이쁘고 맘에드네요,0
980,yunj*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250328,1,,사은품준다길래 알림 오자마자 샀는데 안주는데 진짜 주는거 맞음?,1
981,ko****,컬러: 글로 하이퍼 (그래파이트 블랙),20250307,5,,좋아요 저렴히 잘구매했습니다.,0
982,swir***,컬러: 글로 하이퍼 (코발트 블루),20250404,5,,빠른배송 좋아요!!!!!!,0
983,deza***,컬러: 글로 하이퍼 (그래파이트 블랙),20250317,5,,주문하고 이틀'후 배송 됐어요 포장 잘 돼서 빨리 왔어요~ 작동 이상 없고 충전도 돼 있어서 바로 사용했어요,0
984,cjd1***,컬러: 글로 하이퍼 (코발트 블루),20250306,5,,아이코스 사용하다 기기값이 비싸서 넘어왔음둥. 기기도 싸고 담배찐내가 안나서 강추,0
985,dive*****,컬러: 글로 하이퍼 (코발트 블루),20250329,5,,전담 좋아요 이거는 또쓰고 또쓰고해요ㅋ,0
986,king******,컬러: 글로 하이퍼 (코발트 블루),20250331,5,,타격감이랑 연무량도 만족합니다.,0
987,wjdd****,컬러: 글로 하이퍼 (말라카이트 틸),20250304,5,,얇은 스틱쓰다 고장으로 바꾸게 됐어요.. 아직 적응중입니다,0
988,bbkx*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250308,5,,글로 프로에서 하이퍼로 넘어왔는데 예상보다 너무 좋네요~!!,0
989,mini******,컬러: 글로 하이퍼 (그래파이트 블랙),20250319,5,,아직도 고장없이 잘 사용중입니다~ 많이 추천하고 있어요~ 전자담배중에는 최고인거 같네요~,0
990,penn****,컬러: 글로 하이퍼 (말라카이트 틸),20250331,5,,가격대비성능비가우수합니다,0
991,kbg9***,컬러: 글로 하이퍼 (그래파이트 블랙),20250308,5,,기계표면이 매끄럽고 디자인도 새련되어서 오래쓸수있어요,0
992,ryuk*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250331,5,,"신속배달, 글로 퍼플 색이 넘 이뻐요 ㅎ",0
993,dj****,컬러: 글로 하이퍼 (그래파이트 블랙),20250309,5,,이전에 남편이 완전 담배랑 절교할수있기를 기대해요,0
994,budd*****,컬러: 글로 하이퍼 (코발트 블루),20250310,5,,완전 좋습니다 담에 또 구매할께요,0
995,bask******,컬러: 글로 하이퍼 (그래파이트 블랙),20250401,5,,저렴하고 좋네요 감사합니다,0
996,rotn******,컬러: 글로 하이퍼 (그래파이트 블랙),20250326,5,,이거 처음시켰는데 마음에 듭니다 또 주문할께여..,0
997,pank****,컬러: 글로 하이퍼 (말라카이트 틸),20250401,4,,디자인도 이쁘고 좋아요,0
998,ml****,컬러: 글로 하이퍼 (말라카이트 틸),20250312,5,,굿굿입니다 타격감좋음 ㅎ,0
999,htki****,컬러: 글로 하이퍼 (말라카이트 틸),20250226,4,,지속적으로 사용하는 회사 제품으로 만족합니다.그러나 이전 제품보다 흡연 시간이 짧은 것이 불편합니다.,0
1000,joon****,컬러: 글로 하이퍼 (그래파이트 블랙),20250309,5,,배송빠르고 좋은가격에 구매했습니다,0
1001,bizi****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250329,3,,"배터리 용량이 아쉽네요,,,, 근데, 사은품은 안주는건가요?",0
1002,emde*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250313,5,,재질도 맘에들고 확실히 새거라 타는정도가 다르네요~ 빠른배송 감사합니다~,0
1003,avol****,컬러: 글로 하이퍼 (코발트 블루),20250328,5,,깔끔한 디자인 빠른 부스트 히터 오래가서 좋고 가격도 착해 좋습니다,0
1004,juha******,컬러: 글로 하이퍼 (말라카이트 틸),20250329,5,,좋습니다. 무척 너무좋아요 ㅊ히,0
1005,arma****,컬러: 글로 하이퍼 (말라카이트 틸),20250304,5,,색감은 이뻐요 근데 이거 원래 시간이 짧나요 ??,0
1006,alsd******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250309,5,,빠른배송 감사합니다,0
1007,jaes******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250329,5,,배송빠르고 박스포장 되어 안전하게 도착~,0
1008,do****,컬러: 글로 하이퍼 (그래파이트 블랙),20250311,5,,생각보다 슬림하고 좋네요~,0
1009,manb****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250312,5,,생각보다 괜찮은 제품이네요 가성비는 최고인것 같습니다 부스터 모드로 하면 연무량도 만족할만큼 되네요,0
1010,fi****,컬러: 글로 하이퍼 (말라카이트 틸),20250328,5,,짱짱 조아요 편하고요 머쪄요,0
1011,dan7****,컬러: 글로 하이퍼 (말라카이트 틸),20250307,5,,글로 1세대 보다 많이 향상된 연무량 하이퍼에어 보다도 더 좋아짐,0
1012,thea******,컬러: 글로 하이퍼 (그래파이트 블랙),20250226,5,,"가성비는 좋습니다, 다만 그 가격에 맞는 품질 입니다. 스틱도 더 개발 해주시면 좋겠습니다. 가성비는 최고입니다.",0
1013,soft*****,컬러: 글로 하이퍼 (말라카이트 틸),20250314,5,,제품 이상 없이 받았읍니다.,0
1014,gh****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250212,5,,빌드퀄리티가 좋습니다 터보모드로 흡연시 약간 탄맛같은 쓴맛이 느거져서 일반모드로만 이용할듯 해요 글로 제품 괜찮네요,0
1015,cyh9*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250330,2,,흡연 마무리에 타격이나 연무량이 아쉬워요,0
1016,nest******,컬러: 글로 하이퍼 (말라카이트 틸),20250401,4,,"1단계 2단계 조절기능이 좋았고, 사용간편하게 되었다.",0
1017,rror***,컬러: 글로 하이퍼 (그래파이트 블랙),20250307,5,,잃어버려소 다시삼 ㅠㅠ 이것만펴요 좋음,0
1018,kkkk******,컬러: 글로 하이퍼 (그래파이트 블랙),20250315,5,,글로가 딱 저한테 좋네요^^,0
1019,rpdp****,컬러: 글로 하이퍼 (말라카이트 틸),20250303,5,,잘빨리고 좋네요 재구매 의사 있습니다,0
1020,ooth****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250330,4,,다좋은데 가격이 좀더 저럼했으면 좋겠어요,0
1021,blue*****,컬러: 글로 하이퍼 (코발트 블루),20250402,5,,가격도 좋고 재품도 좋습니다,0
1022,iflo*****,컬러: 글로 하이퍼 (말라카이트 틸),20250221,5,,착한가격에 연무량도 좋아요 단지 기기 내구성이 약한 단점이 있어요 글로 착한가격이 장점이지만 그만큼 단점이 기기 as는 포기하는게 좋을듯,0
1023,ll****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250402,5,,재구매해서 잘 쓰고 있습니다ㅎㅎ,0
1024,vhql****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250307,4,,사용하다보면 뻑뻑해져서 자꾸 부러집니다 개선 바랍니다,0
1025,happ******,컬러: 글로 하이퍼 (그래파이트 블랙),20250314,5,,저렴하게 잘 샀습니다.,0
1026,chs3***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250326,5,,좋아요좋아요좋아요좋아요,0
1027,ksb0***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250329,5,,사은품 대박이네요 감사합니다,0
1028,wino***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250310,5,,그립감 좋고 색감좋고 다 좋아요,0
1029,kl****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250311,5,,가격도 만족. 예전보다 디자인도 색상도 만족. 재구매 했어요.,0
1030,hi****,컬러: 글로 하이퍼 (그래파이트 블랙),20250208,5,,예전에 글로피다가 다시 돌아왔네요 얘전제품들은 다 품절되고 이번에 다시 하이퍼 기계를 구입했네요 잘썻으면 좋겟네요 이쁘네요 충전도 빠르고 잘써보도록 하겠습니다,1
1031,hn19***,컬러: 글로 하이퍼 (그래파이트 블랙),20250308,5,,배송도 빠르고 잘사용중입니다,0
1032,jinm*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250306,5,,충전도 빠르고 디자인이 깔끔해져서 좋아요,0
1033,elvi*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250319,5,,일단 성능이 좋네요. 작동도 쉽고 충전상태와 끽연 시간을 알수 있어 좋습니다.,0
1034,tama*******,컬러: 글로 하이퍼 (말라카이트 틸),20250404,5,,잘 사용하고 있어요.,0
1035,mega******,컬러: 글로 하이퍼 (코발트 블루),20250228,5,,늘 쓰던 제품이라 재구매하였습니다. 편리하고 좋습니다.,0
1036,gksr******,컬러: 글로 하이퍼 (코발트 블루),20250330,5,,배송이 빨라서 넘 조항요,0
1037,eure******,컬러: 글로 하이퍼 (그래파이트 블랙),20250331,5,,사용하기 편해서 재구매 했습니다,0
1038,coff********,컬러: 글로 하이퍼 (애미시스트 퍼플),20250303,4,,"하이퍼 X2, 에어보다 그립감도 좋고 예열도 빠르고 좋습니다~ 퍼플색도 마음에 듭니다~",0
1039,pure***,컬러: 글로 하이퍼 (말라카이트 틸),20250317,5,,그립감도 만족스럽구요. 연무량 타격감 가격 디자인 다 만족스럽습니다.,0
1040,kh****,컬러: 글로 하이퍼 (말라카이트 틸),20250220,5,,사진상 왼쪽 초기 모델이 타격감 좋아요 가운데 슬림은 쓰레기 입니다 이번에 받은건 초기모델보다 약간 약한데 쓸만해요 ㅎㅎ,0
1041,ha****,컬러: 글로 하이퍼 (그래파이트 블랙),20250306,5,,잘쓰겠습니다 감사합니다,0
1042,isee****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250311,5,,리뉴얼 돼서 가볍고 이뻐요,0
1043,isee****,컬러: 글로 하이퍼 (코발트 블루),20250311,5,,리뉴얼 돼서 가볍고 예뻐요,0
1044,komj***,컬러: 글로 하이퍼 (그래파이트 블랙),20250112,5,,"첫 은색 뚱땡이 기계부터 계속 glo만 쓰고 있는 사람으로 기존의 얇았던 네오를 오랫동안 적응 해가며, 같이 번갈아 피우던 연초도 결국 올해 어렵게 끊게 되었어요. 그런데 네오가 끊겼네요... 뉴네오가 나오고 기계호환이 안되니 다시 기계를 사야하는데... 기계가 문제가 아니고 필터 호환이 안되니 맛에 다시 적응을 해야 한다고 생각하니 미치겠더라구요.. 그래서 하이퍼를 받고나서 일반 에어 glo들과 비교, 느낀점만 이야기 하려구요..저는 부스터 모드만 쓰는 타입이라 가열은 에어때 걸리는 부스터 모드보다 더 빠른것 같아요. 2초 2.5초? 암튼 빨라요. 제가 제일 좋았던 점은 확실히 무화량이 많아요. 소위 말해서 안빨리단고 그러잖아요.. 에어 기계들 때는 담배한개에 부스터 모드를 써도 무화량이 두번정도만 만족 할 정도 였는데, 확실히 하이퍼는 그냥 만족해요. 제가 부스터 모드만 쓴다고 그랬는데, 저같이 비슷하신 분들은 청소솔 들고 다니 셔야 할듯해요..부스터 모드로 온도를 급하게 올리니, 다피고 담배를 뺄때 종이가 바스락(?)거린다고 해야하나? 반으로 뚝 끊겨요.. 그리고 청소솔도 에어솔과 이번 하이퍼솔이 외관상으로는 차이없어 보였는데 다른거 썼다가 안빠질수 있어요. 미세한 차이가 있더라구요. 저는 지금 배송 받은지 얼마되지도 않았는데 벌써 2번이나 반토막 났었습니다. 청소는 쉬우니까 상관은 없구요. 흡연할때, 충전할때 미세한 발열 말고는 큰 발열 없어서 기계는 만족해서 하나더 구입하고 싶어요. 세일할때 하나더 구매 해야겠어요~",3
1045,93gu***,컬러: 글로 하이퍼 (코발트 블루),20250308,5,,배터리가 약해진거 같아서 새로 주문했습니다,0
1046,gm****,컬러: 글로 하이퍼 (그래파이트 블랙),20250328,5,,t디자인 좋고 편리하고 성능좋아 재구매 하였습니다,0
1047,trun***,컬러: 글로 하이퍼 (그래파이트 블랙),20250207,5,,포장도 완벽하고 가성비도 최고고 디자인도 훌륭합니다 사용전이라서 사용해보고 후기 올리렵니다,1
1048,sms7****,컬러: 글로 하이퍼 (말라카이트 틸),20250318,5,,빠른배송 너무 좋아요^^상품 설명 그대로 입니다.,0
1049,kill*****,컬러: 글로 하이퍼 (말라카이트 틸),20250329,5,,아주좋습니다 아주좋습니다,0
1050,ko****,컬러: 글로 하이퍼 (말라카이트 틸),20250311,5,,저렴히 잘사용하고 있습니다.,0
1051,seou*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250325,5,,색상과 다크토바코 타격감이 맘에 듭니다,0
1052,kmhk*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250208,5,,그전모델보다는 확실하게 좋은 느낌입니다,0
1053,oth_****,컬러: 글로 하이퍼 (코발트 블루),20250329,5,,역시 글로 굉장히 만족합니다!!,0
1054,dsci***,컬러: 글로 하이퍼 (그래파이트 블랙),20250308,5,,포장 잘되어 배송 받았습니다.,0
1055,qldr******,컬러: 글로 하이퍼 (그래파이트 블랙),20250310,5,,아주 만족스럽습니다.,0
1056,alli*********,컬러: 글로 하이퍼 (코발트 블루),20250327,3,,사은품증정기준이 좀더 명확해야 될것같네요,0
1057,sabl*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250326,5,,딱 3달사용이 기한인듯 2달부터 슬슬 입구가 뻑뻑해짐 ㅠ,1
1058,band****,컬러: 글로 하이퍼 (코발트 블루),20250327,5,,더 부드럽고 그립감도 좋아졌어요,0
1059,re****,컬러: 글로 하이퍼 (그래파이트 블랙),20250228,5,,기계는 만족스러워요. 작은 기계를 좀 팔아주면 좋겠어요 ㅠ,0
1060,ajci****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250329,5,,빠른 배송 우수한 성능,0
1061,ss****,컬러: 글로 하이퍼 (말라카이트 틸),20250307,5,,제품 잘 받았습니다 고맙습니다.,0
1062,gree*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250306,5,,만족합니다 다음에도 재구매 가능,0
1063,sseo****,컬러: 글로 하이퍼 (그래파이트 블랙),20250327,1,,이벤트하지 마세요 보이스피싱 당한기분임,1
1064,tkat*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250329,5,,부드럽고 타격감좋고 오래가네요,0
1065,jisu*******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250316,5,,가성비좋아요 다시 바꿔서 사용하구 있어요 근데 금방 고장나는거 같기도 함 ㅠㅠ,0
1066,dw****,컬러: 글로 하이퍼 (그래파이트 블랙),20250303,5,,글로 좋아요. 프로보다 편하네요,0
1067,dhks***,컬러: 글로 하이퍼 (그래파이트 블랙),20250213,4,,확실히 시간도 늘어나고 연무량도 많아지고 여러가지로 개선된 부분이 있습니다. 그런데 헐겁기도 하다가 잘 안껴지기도 하다가 왔다갔다 해요 . 그리고 LED모드랑 일반 모드랑 LED차이라고 하는데 시간 체크 했을때 LED가 더 오래가긴 합니다. 그립감 또한 괜찮지만 기기가 미끄러워서 자주 떨어트려요 글로 하이퍼X2부터 에어 지금 모델까지 다 써봤는데 기기 수명은 1년 이하 같습니다. 그리고 매년 모델이 새로 나오기도 하고 가격이 저렴하니 다음에 나오는 모델 할인하면 그때 또 주문할 예정입니다 타 기기도 써봤는데 저는 글로가 가장 마음에 드네요,0
1068,k013***,컬러: 글로 하이퍼 (그래파이트 블랙),20250402,4,,잘 사용하고 있습니다...,0
1069,hiss***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250221,5,,행사해서 예비용으로 하나더 구입했습니다. 빠른 배송 감사합니다.,0
1070,inte*******,컬러: 글로 하이퍼 (말라카이트 틸),20250307,3,,사이즈 그립감 만족합니다,0
1071,kms1*****,컬러: 글로 하이퍼 (코발트 블루),20250219,1,,as도 좀 기스났다고 안해주고 어쩔수없이 새로 사긴했네 얼마나 가려나...언능 다른걸로 갈아타야지..,3
1072,mir0****,컬러: 글로 하이퍼 (그래파이트 블랙),20250304,5,,좋습니다 기존제품이 단종되서 적응해볼수밖에 없네요,0
1073,budd*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250310,5,,오래가고 맛이 완전 다르네요 ㅎㅎ,0
1074,eltm***,컬러: 글로 하이퍼 (그래파이트 블랙),20250207,5,,글로시리즈를 쭉 만족하면서 쓰고 있습니다. 이번건은 좀 더 잘 담배가 쪄주는거 같아서 담배맛이 좋네요. 그립감도 좋고 가볍고 괜찬은 제품입니다. 좀 더 써봐야 알겠시반 아주 맘에 들어요,0
1075,ha****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250301,5,,좋아요. 구버전이 고장나서 구입,0
